"year","zone","indicator","measure","value"
"2010","S01001790","Number Of All Fires","Count",3
"2009","S01001790","Number Of All Fires","Count",4
"2012","S01001790","Number Of All Fires","Count",2
"2011","S01001790","Number Of All Fires","Count",2
"2010","S01001790","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","289.4"
"2011","S01001790","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001790","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","427.4"
"2012","S01001790","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","138.9"
"2009","S01001790","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001790","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001790","Accidental Dwelling Fires Per 100,000 Population","Ratio","145.1"
"2012","S01001790","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001791","Number Of All Fires","Count",1
"2009","S01001791","Number Of All Fires","Count",1
"2012","S01001791","Number Of All Fires","Count",1
"2011","S01001791","Number Of All Fires","Count",1
"2010","S01001791","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001791","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001791","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001791","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","135.1"
"2009","S01001791","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001791","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001791","Accidental Dwelling Fires Per 100,000 Population","Ratio","135.9"
"2012","S01001791","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001792","Number Of All Fires","Count",0
"2009","S01001792","Number Of All Fires","Count",2
"2012","S01001792","Number Of All Fires","Count",1
"2011","S01001792","Number Of All Fires","Count",0
"2010","S01001792","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001792","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001792","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","291.5"
"2012","S01001792","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001792","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001792","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001792","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001792","Accidental Dwelling Fires Per 100,000 Population","Ratio","141.2"
"2010","S01001793","Number Of All Fires","Count",2
"2009","S01001793","Number Of All Fires","Count",5
"2012","S01001793","Number Of All Fires","Count",3
"2011","S01001793","Number Of All Fires","Count",3
"2010","S01001793","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","108.1"
"2011","S01001793","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001793","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","211.9"
"2012","S01001793","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","220.8"
"2009","S01001793","Accidental Dwelling Fires Per 100,000 Population","Ratio","211.9"
"2010","S01001793","Accidental Dwelling Fires Per 100,000 Population","Ratio","108.1"
"2011","S01001793","Accidental Dwelling Fires Per 100,000 Population","Ratio","219.1"
"2012","S01001793","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001794","Number Of All Fires","Count",2
"2009","S01001794","Number Of All Fires","Count",2
"2012","S01001794","Number Of All Fires","Count",1
"2011","S01001794","Number Of All Fires","Count",2
"2010","S01001794","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001794","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","211.6"
"2009","S01001794","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001794","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","105.2"
"2009","S01001794","Accidental Dwelling Fires Per 100,000 Population","Ratio",113
"2010","S01001794","Accidental Dwelling Fires Per 100,000 Population","Ratio","112.2"
"2011","S01001794","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001794","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001795","Number Of All Fires","Count",19
"2009","S01001795","Number Of All Fires","Count",16
"2012","S01001795","Number Of All Fires","Count",5
"2011","S01001795","Number Of All Fires","Count",21
"2010","S01001795","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",1023
"2011","S01001795","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","1135.1"
"2009","S01001795","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","1430.3"
"2012","S01001795","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","253.2"
"2009","S01001795","Accidental Dwelling Fires Per 100,000 Population","Ratio","119.2"
"2010","S01001795","Accidental Dwelling Fires Per 100,000 Population","Ratio","127.9"
"2011","S01001795","Accidental Dwelling Fires Per 100,000 Population","Ratio","113.5"
"2012","S01001795","Accidental Dwelling Fires Per 100,000 Population","Ratio","126.6"
"2010","S01001796","Number Of All Fires","Count",0
"2009","S01001796","Number Of All Fires","Count",1
"2012","S01001796","Number Of All Fires","Count",1
"2011","S01001796","Number Of All Fires","Count",0
"2010","S01001796","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001796","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001796","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","122.5"
"2012","S01001796","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","128.9"
"2009","S01001796","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001796","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001796","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001796","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001797","Number Of All Fires","Count",2
"2009","S01001797","Number Of All Fires","Count",2
"2012","S01001797","Number Of All Fires","Count",0
"2011","S01001797","Number Of All Fires","Count",1
"2010","S01001797","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","130.5"
"2011","S01001797","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001797","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001797","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001797","Accidental Dwelling Fires Per 100,000 Population","Ratio","267.7"
"2010","S01001797","Accidental Dwelling Fires Per 100,000 Population","Ratio","130.5"
"2011","S01001797","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001797","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001798","Number Of All Fires","Count",0
"2009","S01001798","Number Of All Fires","Count",5
"2012","S01001798","Number Of All Fires","Count",1
"2011","S01001798","Number Of All Fires","Count",0
"2010","S01001798","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001798","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001798","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","123.9"
"2012","S01001798","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001798","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001798","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001798","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001798","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001799","Number Of All Fires","Count",27
"2009","S01001799","Number Of All Fires","Count",31
"2012","S01001799","Number Of All Fires","Count",4
"2011","S01001799","Number Of All Fires","Count",8
"2010","S01001799","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","2334.3"
"2011","S01001799","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","372.4"
"2009","S01001799","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","2631.6"
